Simulation,Iteration,Estimated Distance,GDOP,Deviation,Actual Distance,Average Satellites Used
sim2,1,277.8067396195417,0.38474679018011265,0.006739619541690445,277.8,8.0
sim2,3,278.37694510554957,0.3828402820008643,0.5769451055495551,277.8,8.0
sim2,5,286.7341436886127,0.3945590023498865,8.934143688612664,277.8,8.0
sim2,7,278.42442157429707,0.3848158944036341,0.6244215742970596,277.8,8.0
sim2,8,552.974490811248,0.4063612510317634,275.17449081124795,277.8,8.0
sim2,9,281.6101596412932,0.3996662849815406,3.8101596412931826,277.8,8.0
sim2,10,303.0195563310884,0.4106523643108668,25.21955633108837,277.8,8.0
sim2,11,277.8940418776745,0.3933478826837019,0.09404187767449912,277.8,8.0
sim2,13,300.425634977383,0.39598921809751164,22.625634977383015,277.8,8.0
sim2,14,304.1489596030478,0.39564042775881764,26.348959603047774,277.8,8.0
sim2,15,310.0132684189108,0.390901677949418,32.213268418910786,277.8,8.0
sim2,16,280.8100918218732,0.40360514020932764,3.010091821873175,277.8,8.0
sim2,17,279.1556517562744,0.3931857278498044,1.3556517562743693,277.8,8.0
sim2,19,278.1277347463064,0.3840509148223539,0.327734746306362,277.8,8.0
sim2,20,278.5340037962892,0.3814404541427048,0.734003796289187,277.8,8.0
sim2,21,281.37449126266966,0.38987996179274803,3.5744912626696532,277.8,8.0
sim2,22,277.9812394984152,0.38795481624777045,0.18123949841520925,277.8,8.0
sim2,23,279.6935842120936,0.4038336426628031,1.8935842120935718,277.8,8.0
sim2,25,516.7744147239667,0.3957928689362937,238.97441472396673,277.8,8.0
sim2,26,281.15344776217506,0.4055406348756627,3.353447762175051,277.8,8.0
sim2,28,278.42256099876073,0.3786586638957829,0.6225609987607186,277.8,8.0
sim2,29,3201.394953045978,0.39300020812666475,2923.594953045978,277.8,8.0
sim2,30,278.7106057607667,0.400258767890541,0.910605760766714,277.8,8.0
sim2,33,278.53960516512444,0.37817405548644806,0.7396051651244306,277.8,8.0
sim2,34,279.88328752468783,0.40127808555292555,2.083287524687819,277.8,8.0
sim2,35,277.6506255219807,0.39389642354129883,0.14937447801929693,277.8,8.0
sim2,36,279.4319911869082,0.38643819556352493,1.6319911869081807,277.8,8.0
sim2,37,299.7941623896706,0.39573941340336316,21.994162389670578,277.8,8.0
sim2,38,278.56629638219295,0.3734964752218933,0.7662963821929338,277.8,8.0
sim2,39,278.2481813331408,0.39318331994847894,0.4481813331407807,277.8,8.0
sim2,40,605.8360130941171,0.4108078172823004,328.0360130941171,277.8,8.0
sim2,41,278.97329955292594,0.39667568239975526,1.1732995529259256,277.8,8.0
sim2,42,278.40946246578363,0.3996635762950941,0.6094624657836221,277.8,8.0
sim2,44,279.56053019173595,0.4060997697357498,1.7605301917359384,277.8,8.0
sim2,47,311.3494209649955,0.40952089285047655,33.54942096499548,277.8,8.0
sim2,48,279.0403635927329,0.38800904059637004,1.2403635927328764,277.8,8.0
